Sequence id	Molecular Weight(Da)	Residues
AT1G30990.1	17593	152
AT1G64920.1	50555	452
AT1G64910.1	50385	447
AT1G64900.1	58606	506
AT1G70210.1	38277	339
AT1G36095.1	34443	301
AT1G70220.1	18880	170
AT1G36100.1	20693	187
AT1G70200.1	60339	538
AT1G70190.1	22723	208
AT1G70180.1	50347	456
AT1G70180.2	50711	460
AT1G64880.1	60237	515
AT1G36070.1	47246	418
AT1G08590.1	113822	1029
AT1G08670.1	26544	231
AT1G08680.1	71345	649
AT1G08680.2	71217	648
AT1G08680.3	66777	607
AT1G64890.1	48487	442
AT1G08660.1	54217	474
AT1G08660.2	39618	347
AT1G08650.1	31830	284
AT1G08640.1	32903	294
AT1G08630.1	38943	358
AT1G08630.3	38943	358
AT1G08630.2	38943	358
AT1G08630.4	38943	358
AT1G08630.5	37432	344
AT1G08600.1	168178	1479
AT1G08620.1	131929	1183
AT1G08610.1	62721	559
AT1G08480.1	15813	142
AT1G14080.1	59036	519
AT1G08470.1	44037	390
AT1G64550.1	79645	715
AT1G69840.1	31406	286
AT1G69840.3	31406	286
AT1G69840.4	31406	286
AT1G69840.2	31406	286
AT1G69840.5	31406	286
AT1G69840.6	31406	286
AT1G64540.1	50024	444
AT1G69850.1	63982	585
AT1G64530.1	93864	841
AT1G14000.1	49336	438
AT1G13980.1	162621	1451
AT1G08320.1	53515	481
AT1G08320.2	40234	357
AT1G08320.3	53515	481
AT1G13990.1	30890	277
AT1G64520.1	30706	267
AT1G08315.1	34441	325
AT1G64570.1	137305	1239
AT1G64580.1	119513	1052
AT1G64610.1	72306	647
AT1G64610.2	72306	647
AT1G35850.1	35271	304
AT1G69900.1	43946	397
AT1G69890.1	31216	279
AT1G69860.1	62580	555
AT1G69880.1	17250	148
AT1G35830.1	33215	302
AT1G69870.1	68417	620
AT1G64590.1	36381	334
AT1G64600.1	61791	537
AT1G08310.1	36388	315
AT1G08310.2	36811	318
AT1G13970.1	57594	504
AT1G08300.1	57499	509
AT1G69780.1	33342	294
AT1G69790.1	42696	387
AT1G69800.1	47818	447
AT1G69800.2	51384	476
AT1G69770.1	94906	839
AT1G69760.1	19835	177
AT1G13960.1	55816	514
AT1G13960.2	53051	487
AT1G69740.1	46691	430
AT1G69740.2	46691	430
AT1G69750.1	10936	98
AT1G35750.1	59382	528
AT1G69810.1	43350	387
AT1G08270.2	14827	132
AT1G08270.1	14064	126
AT1G08280.1	45935	398
AT1G08290.1	38596	337
AT1G08260.1	261270	2271
AT1G35820.1	32198	287
AT1G08250.1	44802	413
AT1G69820.1	20908	191
AT1G35860.1	43551	399
AT1G35770.1	105853	968
AT1G35780.1	31071	286
AT1G69830.1	99843	887
AT1G69910.1	70531	636
AT1G69920.1	27923	254
AT1G69980.1	22845	205
AT1G69990.1	65554	591
AT1G35950.1	27193	231
AT1G70000.1	28793	261
AT1G69970.1	13631	118
AT1G64690.1	32599	273
AT1G69960.1	35042	307
AT1G64680.1	28163	250
AT1G35930.1	30506	261
AT1G35940.1	189616	1678
AT1G64670.1	53428	469
AT1G08460.1	41263	377
AT1G14070.1	58528	509
AT1G08465.1	20701	184
AT1G08450.1	49844	424
AT1G08450.2	43595	370
AT1G08440.1	55682	501
AT1G36000.1	14259	122
AT1G08420.1	108581	1018
AT1G08430.1	55078	493
AT1G64660.1	47821	441
AT1G69940.1	39142	361
AT1G08350.1	58636	508
AT1G08350.2	67679	589
AT1G08360.1	24469	216
AT1G14010.1	24156	212
AT1G08340.1	36830	331
AT1G08370.1	40611	367
AT1G35920.1	63196	567
AT1G35900.1	10936	99
AT1G35880.1	23929	222
AT1G69930.1	26516	234
AT1G35890.1	20305	171
AT1G35910.1	41598	369
AT1G08380.1	15144	140
AT1G14020.1	57571	499
AT1G08390.1	15210	137
AT1G64640.1	20251	191
AT1G69935.1	21367	192
AT1G64650.1	50659	462
AT1G64650.2	46212	421
AT1G64630.1	59246	524
AT1G64625.1	59577	527
AT1G64620.1	37878	352
AT1G14060.1	19427	179
AT1G08400.1	92353	804
AT1G14030.1	54612	482
AT1G14040.1	93838	813
AT1G08410.1	66743	589
AT1G08710.1	31893	274
AT1G08710.2	34341	295
AT1G08720.1	103589	933
AT1G08730.1	174628	1538
AT1G65350.1	32455	294
AT1G65360.1	25337	226
AT1G02030.1	30182	267
AT1G02020.1	71366	642
AT1G02020.2	60694	543
AT1G31360.1	79370	705
AT1G31360.2	65652	580
AT1G31350.1	44149	395
AT1G02000.1	48134	434
AT1G02010.1	76109	673
AT1G01990.1	27914	245
AT1G31370.1	21611	193
AT1G65380.1	79229	720
AT1G65410.1	37519	345
AT1G02065.2	27504	246
AT1G02065.1	36827	333
AT1G65420.1	21398	197
AT1G02060.1	80833	710
AT1G65370.1	25637	227
AT1G31390.1	30717	268
AT1G02050.1	43618	395
AT1G31380.1	19861	175
AT1G02040.1	36603	324
AT1G65390.1	47963	411
AT1G65390.2	34460	297
AT1G31340.1	17397	156
AT1G01980.1	60103	541
AT1G65280.1	66501	588
AT1G65290.1	14167	126
AT1G65295.1	12732	115
AT1G09080.1	75595	678
AT1G65300.1	31658	278
AT1G09070.1	34190	324
AT1G09050.1	102370	916
AT1G09020.1	53467	487
AT1G09030.1	15742	139
AT1G09040.1	102434	911
AT1G09060.1	105592	930
AT1G09060.2	105592	930
AT1G09060.3	107231	944
AT1G31290.1	129186	1194
AT1G65310.1	31992	282
AT1G31300.1	31882	278
AT1G31300.2	31882	278
AT1G01970.1	46078	409
AT1G65342.1	12769	111
AT1G31335.1	7415	70
AT1G31330.1	24173	221
AT1G65340.1	57750	503
AT1G01960.1	194945	1750
AT1G31320.1	18697	172
AT1G65320.1	46556	425
AT1G31400.1	31316	278
AT1G31310.1	42590	383
AT1G65330.1	31954	279
AT1G01950.1	98424	894
AT1G09010.1	107662	944
AT1G02070.1	14730	131
AT1G02080.1	263895	2378
AT1G57860.1	18709	164
AT1G57870.1	47836	420
AT1G57906.1	26199	228
AT1G57850.1	18389	158
AT1G57943.1	45394	398
AT1G57943.2	45265	397
AT1G02180.1	24788	226
AT1G31500.1	43850	388
AT1G31500.3	32166	283
AT1G31500.2	40365	358
AT1G31500.4	47085	417
AT1G25240.1	43410	376
AT1G31490.1	49287	444
AT1G02160.1	8061	71
AT1G02160.2	10243	91
AT1G02170.1	39793	367
AT1G31480.1	106317	933
AT1G57980.1	44829	394
AT1G25250.1	41481	362
AT1G25300.1	30603	272
AT1G02190.2	71587	623
AT1G02190.1	72093	627
AT1G25310.1	17021	145
AT1G31520.1	15372	132
AT1G57990.1	44182	390
AT1G25290.1	38223	343
AT1G31510.1	35081	309
AT1G25260.1	27243	235
AT1G25270.1	38577	355
AT1G25275.1	7799	74
AT1G25275.2	7831	74
AT1G25275.3	9033	85
AT1G25280.1	50011	445
AT1G25280.2	29746	267
AT1G02150.1	59883	524
AT1G25230.1	38242	339
AT1G31470.1	64061	582
AT1G57780.1	30646	264
AT1G57790.1	40897	352
AT1G57800.1	73364	660
AT1G57770.1	61724	574
AT1G57760.1	12738	115
AT1G02110.1	76578	679
AT1G31420.1	65015	592
AT1G02090.2	25472	225
AT1G02090.1	29469	260
AT1G02090.3	26796	237
AT1G02100.2	34876	306
AT1G02100.3	37550	332
AT1G02100.1	37550	332
AT1G02120.1	67702	598
AT1G57820.1	71468	645
AT1G57820.2	71266	642
AT1G57830.1	19183	164
AT1G25155.1	24693	222
AT1G31460.1	33311	301
AT1G25220.1	30460	276
AT1G02140.1	17458	150
AT1G02130.1	22649	203
AT1G25210.1	107895	955
AT1G31450.1	47908	445
AT1G31440.1	49259	439
AT1G31410.1	58293	524
AT1G25170.1	24628	216
AT1G25180.1	27690	258
AT1G31430.1	63761	570
AT1G13950.1	17361	158
AT1G09000.1	73471	666
AT1G08990.1	49316	424
AT1G08800.1	125430	1113
AT1G08810.2	22638	197
AT1G08810.1	32018	280
AT1G08820.1	43270	386
AT1G08820.2	43270	386
AT1G08830.1	15098	152
AT1G08830.2	15098	152
AT1G08790.1	20879	190
AT1G36280.1	58817	527
AT1G31120.1	89221	796
AT1G08840.1	143251	1296
AT1G08860.1	64203	584
AT1G65130.1	124653	1086
AT1G31150.1	76896	673
AT1G65140.1	36500	317
AT1G31140.1	24932	213
AT1G08845.1	21529	189
AT1G65120.2	130891	1147
AT1G65120.1	128088	1121
AT1G65110.1	126445	1094
AT1G08880.1	14813	142
AT1G65080.1	58287	525
AT1G65090.1	26749	246
AT1G31130.1	35736	321
AT1G31090.1	36401	311
AT1G36240.1	12318	112
AT1G65000.1	9752	83
AT1G65010.1	149728	1318
AT1G65020.1	35624	319
AT1G64990.1	53547	468
AT1G64990.2	53547	468
AT1G31020.1	17623	159
AT1G08780.1	14881	129
AT1G08760.1	80750	748
AT1G08740.1	111622	1014
AT1G08750.1	44543	388
AT1G08750.2	44543	388
AT1G08750.3	44543	388
AT1G08770.1	22415	209
AT1G65030.1	37456	345
AT1G31040.1	27877	243
AT1G65070.1	94576	857
AT1G36230.1	42212	376
AT1G31080.1	41428	355
AT1G31070.1	16978	153
AT1G31070.2	55993	505
AT1G65060.1	61311	561
AT1G65060.2	54299	495
AT1G31060.1	11824	106
AT1G65040.2	52127	460
AT1G65040.1	31590	281
AT1G65040.3	43939	389
AT1G31160.1	20401	187
AT1G31050.1	8479	72
AT1G65050.1	25856	228
AT1G65150.1	33584	296
AT1G65150.2	33584	296
AT1G31163.1	21712	191
AT1G31230.1	99405	911
AT1G65250.1	42728	372
AT1G65240.1	51829	475
AT1G31240.1	30962	277
AT1G31220.1	32170	292
AT1G65210.1	28634	248
AT1G31200.1	20348	180
AT1G65220.1	47061	411
AT1G65230.1	32737	286
AT1G65200.1	126534	1101
AT1G65260.1	36393	330
AT1G65270.2	32535	292
AT1G65270.3	32535	292
AT1G65270.1	32535	292
AT1G31280.1	113425	1014
AT1G31260.1	39490	364
AT1G31250.1	17174	165
AT1G31270.1	10340	90
AT1G65190.1	45923	396
AT1G65180.1	75340	653
AT1G08985.1	11732	101
AT1G31175.1	13494	118
AT1G36340.1	17833	154
AT1G31180.1	43848	404
AT1G31170.1	13915	125
AT1G31170.2	13915	125
AT1G31170.3	13718	123
AT1G65170.1	30211	259
AT1G65160.1	35796	309
AT1G36310.1	44960	404
AT1G36310.2	44960	404
AT1G36320.1	47175	414
AT1G31190.1	40445	371
AT1G36370.1	66294	598
AT1G36380.1	9848	84
AT1G08960.1	59802	546
AT1G08970.4	25640	231
AT1G08970.1	25640	231
AT1G08970.3	25640	231
AT1G08970.2	25640	231
AT1G08980.1	45057	425
AT1G08940.1	32679	281
AT1G08930.1	54356	496
AT1G08930.2	54356	496
AT1G08920.1	51300	470
AT1G08920.2	52178	477
AT1G08920.3	49285	449
AT1G08910.1	92621	842
AT1G36390.1	31223	279
AT1G36390.2	31223	279
AT1G08890.1	50966	464
AT1G08900.1	51054	462
AT1G08900.2	51054	462
AT1G08900.3	50202	454
AT1G36395.1	19281	176
AT1G13940.1	112939	1005
AT1G08230.2	49695	451
AT1G08220.1	31058	274
AT1G08220.2	22672	202
AT1G44890.1	31883	281
AT1G44900.1	105585	936
AT1G44910.1	109383	958
AT1G18200.1	25617	229
AT1G51860.1	99235	890
AT1G18190.1	74788	668
AT1G18180.1	35200	305
AT1G18170.1	26530	247
AT1G51830.1	76633	693
AT1G51840.1	20394	180
AT1G51850.1	96122	865
AT1G51820.1	98099	885
AT1G44920.1	27715	258
AT1G51880.1	98259	880
AT1G18220.1	5261	45
AT1G51920.1	8433	78
AT1G51930.1	14933	132
AT1G51915.1	7244	67
AT1G51870.1	93166	837
AT1G51910.1	98679	876
AT1G51900.1	92199	774
AT1G51890.1	99954	888
AT1G18210.1	18350	170
AT1G18210.2	18350	170
AT1G18160.1	108161	992
AT1G51810.1	82822	744
AT1G51805.1	98077	884
AT1G25141.1	105250	925
AT1G51700.1	21683	194
AT1G51710.1	53696	482
AT1G51710.2	49487	443
AT1G25112.1	27690	258
AT1G51720.1	70936	637
AT1G25097.1	24628	216
AT1G25054.1	107294	949
AT1G24996.1	16808	149
AT1G25025.1	27690	258
AT1G25083.1	24693	222
AT1G51730.1	28706	252
AT1G18100.1	19134	173
AT1G51740.1	35574	310
AT1G18150.2	66232	589
AT1G18150.1	66232	589
AT1G51790.1	97650	881
AT1G51800.1	99640	894
AT1G18140.1	65229	581
AT1G51780.1	47382	435
AT1G18130.1	19206	165
AT1G51770.1	46858	406
AT1G51770.2	43642	379
AT1G51745.1	61718	563
AT1G51745.2	55162	504
AT1G51760.1	48264	440
AT1G24938.1	35437	317
AT1G51940.1	71445	651
AT1G18250.1	25907	243
AT1G18250.2	25978	244
AT1G18310.1	73024	649
AT1G52060.1	34161	314
AT1G45110.1	38053	343
AT1G18320.1	13546	129
AT1G52050.1	34646	313
AT1G52040.1	50167	462
AT1G45080.1	27260	237
AT1G52030.2	68850	642
AT1G52030.1	68850	642
AT1G45090.1	134772	1210
AT1G45100.1	55826	497
AT1G52070.1	34046	315
AT1G52080.1	66293	573
AT1G18380.1	27872	250
AT1G45130.1	81444	732
AT1G18370.1	110176	974
AT1G18330.1	38351	346
AT1G18360.1	41960	382
AT1G52087.1	76762	671
AT1G18335.1	31060	269
AT1G18340.1	33068	301
AT1G18350.1	34272	307
AT1G45010.1	25918	231
AT1G18260.1	75943	678
AT1G51965.1	73880	650
AT1G45000.1	44756	399
AT1G45015.1	16766	153
AT1G51960.1	39330	351
AT1G51950.1	29898	267
AT1G44960.1	28223	261
AT1G44970.1	37741	346
AT1G44980.1	27743	246
AT1G44990.1	7677	74
AT1G18265.1	32809	280
AT1G51970.1	14517	124
AT1G45050.1	18262	161
AT1G18300.1	23701	207
AT1G18290.1	19835	176
AT1G52000.1	73939	730
AT1G18280.1	18073	180
AT1G18270.1	147044	1373
AT1G51990.1	40409	363
AT1G51990.2	40457	363
AT1G51980.1	54402	503
AT1G51980.2	48616	451
AT1G45145.1	13122	118
AT1G51690.1	56935	513
AT1G51690.2	56836	512
AT1G51670.1	19854	178
AT1G01760.1	38672	356
AT1G01770.1	69001	632
AT1G01780.1	22989	205
AT1G01750.1	16342	140
AT1G01790.1	64987	618
AT1G24580.1	13005	113
AT1G24570.1	42058	363
AT1G24540.1	61057	522
AT1G24560.1	76502	678
AT1G01730.1	24306	224
AT1G01740.1	54039	483
AT1G24530.1	45944	418
AT1G01800.1	31660	295
AT1G01800.2	28304	260
AT1G01820.1	25913	235
AT1G80880.1	61709	540
AT1G51470.1	57469	511
AT1G80890.1	8809	80
AT1G51460.1	75221	678
AT1G01810.1	18539	160
AT1G80870.1	78551	692
AT1G80865.1	15196	130
AT1G80840.1	33696	302
AT1G80850.1	36737	327
AT1G80860.2	18819	164
AT1G80860.1	18819	164
AT1G51450.1	55507	509
AT1G24520.1	12070	125
AT1G24510.1	59385	535
AT1G24510.2	51148	459
AT1G24490.1	111099	1013
AT1G80750.1	28345	247
AT1G80760.1	31845	305
AT1G80770.1	50414	451
AT1G80740.1	89220	791
AT1G80780.1	31201	274
AT1G80780.2	31201	274
AT1G01725.1	6881	62
AT1G01710.1	48156	427
AT1G01680.1	35392	308
AT1G01690.1	50737	449
AT1G01700.1	54699	485
AT1G01720.1	32923	289
AT1G51390.1	29972	275
AT1G80790.1	74294	634
AT1G51440.1	60322	527
AT1G24470.1	35012	312
AT1G24480.1	27840	239
AT1G51430.1	17672	160
AT1G51420.1	47847	423
AT1G51410.1	35919	325
AT1G80830.1	57563	532
AT1G51400.1	11361	106
AT1G51480.1	107375	941
AT1G80810.1	87842	773
AT1G80810.2	87970	774
AT1G51405.1	56213	487
AT1G80820.1	36618	332
AT1G51680.1	61054	561
AT1G51680.2	53116	490
AT1G51680.3	58547	539
AT1G80900.1	50464	443
AT1G80910.1	55429	497
AT1G51590.1	63533	560
AT1G51590.2	51349	456
AT1G51600.1	33130	302
AT1G51600.2	33130	302
AT1G24706.1	202719	1781
AT1G24735.1	21856	195
AT1G51580.1	67116	621
AT1G80990.1	26376	229
AT1G51560.1	43583	392
AT1G80980.1	24620	214
AT1G51570.1	89156	776
AT1G80970.1	24767	214
AT1G24764.1	67281	607
AT1G24807.1	26384	235
AT1G51640.1	76196	660
AT1G51650.1	7832	70
AT1G51660.1	40117	366
AT1G51630.1	47143	423
AT1G24793.1	105250	925
AT1G51620.1	29750	262
AT1G24909.1	24693	222
AT1G24822.1	24628	216
AT1G24851.1	27768	258
AT1G24880.1	103252	905
AT1G51610.1	50105	457
AT1G51550.1	53168	478
AT1G80960.2	55690	486
AT1G80960.1	55690	486
AT1G80960.3	53088	462
AT1G80950.1	44714	398
AT1G24590.1	33829	306
AT1G24600.1	8269	72
AT1G24610.1	52590	476
AT1G24575.1	10351	88
AT1G24620.1	20301	186
AT1G51540.1	46748	415
AT1G51520.1	46872	414
AT1G51520.2	57798	513
AT1G51500.1	76452	687
AT1G80920.1	18326	163
AT1G51510.1	22439	202
AT1G51530.1	43290	391
AT1G24625.1	23167	209
AT1G01830.2	61925	574
AT1G01830.3	61925	574
AT1G01830.1	61925	574
AT1G01940.1	17503	160
AT1G80930.1	104018	900
AT1G80940.2	19800	175
AT1G80940.1	24244	213
AT1G01930.1	65261	580
AT1G01920.1	64673	572
AT1G01920.2	61974	547
AT1G01910.1	39671	353
AT1G01910.2	39671	353
AT1G01910.3	33910	303
AT1G01910.4	39671	353
AT1G01900.1	83248	774
AT1G01840.1	16942	152
AT1G51490.1	55528	484
AT1G24650.1	97407	886
AT1G01880.1	63762	570
AT1G01860.1	38023	343
AT1G31530.1	32086	283
AT1G45150.1	72371	643
AT1G45160.1	117998	1042
AT1G45160.2	120313	1067
AT1G69580.1	37897	336
AT1G69580.2	38039	337
AT1G47210.1	21559	192
AT1G47210.2	42462	372
AT1G69570.1	44007	399
AT1G47220.1	38130	327
AT1G69560.1	38441	330
AT1G69545.1	76152	703
AT1G18890.1	61460	545
AT1G69530.1	26518	250
AT1G69530.3	29280	275
AT1G69530.2	26518	250
AT1G69540.1	39221	344
AT1G69550.1	79920	703
AT1G18880.1	65175	587
AT1G47230.1	42162	369
AT1G47230.2	42318	370
AT1G13690.1	19809	177
AT1G13740.1	38212	348
AT1G47290.1	41909	382
AT1G47290.2	48125	439
AT1G13750.1	68242	613
AT1G47280.1	8470	80
AT1G47240.1	58418	530
AT1G13730.1	46804	428
AT1G13710.1	57644	517
AT1G47250.1	30410	277
AT1G13700.1	29887	268
AT1G47260.1	30066	278
AT1G47270.1	46066	413
AT1G18870.1	56609	512
AT1G18860.1	52915	480
AT1G18850.1	43949	399
AT1G46912.1	36256	312
AT1G13620.1	12385	109
AT1G46984.1	43130	370
AT1G46840.1	55412	475
AT1G47056.1	56497	518
AT1G46768.1	17241	153
AT1G69520.1	28967	262
AT1G69523.1	33399	300
AT1G69526.1	25836	228
AT1G69526.2	34158	307
AT1G46696.1	68585	616
AT1G13630.1	86526	764
AT1G47128.1	50967	462
AT1G13635.1	35947	311
AT1G13670.1	25437	225
AT1G18840.1	62733	572
AT1G18840.2	62733	572
AT1G13680.1	35657	317
AT1G18830.1	106594	969
AT1G18810.1	43289	387
AT1G13650.2	32623	286
AT1G13650.1	32623	286
AT1G18790.1	30638	269
AT1G47300.1	36590	306
AT1G47200.1	19134	180
AT1G18800.1	29482	256
AT1G13640.1	69573	622
AT1G69510.1	15096	137
AT1G69510.3	15096	137
AT1G69510.2	15096	137
AT1G13760.1	8944	81
AT1G13780.1	52996	456
AT1G35680.1	24039	220
AT1G69720.1	32434	285
AT1G69710.1	112724	1028
AT1G69730.1	88597	792
AT1G35670.1	55917	495
AT1G69690.1	34753	325
AT1G35663.1	12398	106
AT1G69680.1	21871	202
AT1G69700.1	22034	184
AT1G69670.1	64779	556
AT1G35720.1	36204	317
AT1G08200.1	43791	389
AT1G08210.1	52989	492
AT1G13930.1	16164	155
AT1G13920.1	39626	345
AT1G35710.1	124106	1120
AT1G08190.1	110280	980
AT1G08180.1	12911	111
AT1G08160.1	25159	221
AT1G35730.1	63251	564
AT1G08170.1	27221	243
AT1G13910.1	37024	330
AT1G35660.1	128265	1155
AT1G69660.1	26770	231
AT1G69650.1	33718	294
AT1G47330.1	57931	527
AT1G47340.1	53454	459
AT1G13790.1	85868	736
AT1G47320.1	29124	259
AT1G47350.1	61970	528
AT1G47310.1	44558	395
AT1G69630.1	51719	451
AT1G69600.1	26284	242
AT1G69610.1	74326	636
AT1G69620.1	13650	119
AT1G69640.1	29820	260
AT1G13800.1	100521	883
AT1G13810.1	35494	303
AT1G13880.1	48430	424
AT1G13890.1	29076	263
AT1G13900.1	73718	656
AT1G13870.1	34064	302
AT1G47395.1	5369	50
AT1G13860.2	50286	447
AT1G13860.4	68002	603
AT1G13860.1	68002	603
AT1G13860.3	68002	603
AT1G47390.1	42508	370
AT1G47370.1	42118	363
AT1G13770.1	48614	440
AT1G13820.1	37959	339
AT1G13830.1	20382	197
AT1G47380.1	46422	428
AT1G52090.1	12794	114
AT1G69500.1	60102	524
AT1G69485.1	13829	125
AT1G45249.1	44166	416
AT1G45249.2	43128	408
AT1G18510.1	27088	238
AT1G13450.1	46676	406
AT1G13450.2	41849	361
AT1G18500.1	68677	631
AT1G18520.1	29825	271
AT1G13440.1	36914	338
AT1G13440.2	33906	310
AT1G18490.1	31291	282
AT1G45231.2	60247	538
AT1G13430.1	40667	351
AT1G45233.2	51813	452
AT1G45248.2	21259	185
AT1G45243.1	30822	263
AT1G18530.1	17147	157
AT1G18540.1	26153	233
AT1G45474.1	27802	256
AT1G45474.2	27802	256
AT1G13470.1	44095	379
AT1G45545.1	84454	752
AT1G45403.1	19387	169
AT1G13460.1	56510	492
AT1G13460.2	56510	492
AT1G45332.1	83180	754
AT1G18580.1	37942	332
AT1G18550.1	90600	799
AT1G18560.1	76411	676
AT1G18570.1	39155	352
AT1G45230.1	25448	219
AT1G45230.2	25577	219
AT1G13420.1	37709	331
AT1G45207.2	60915	555
AT1G52130.1	53569	483
AT1G18400.1	29364	260
AT1G52140.1	23166	208
AT1G18390.1	67645	605
AT1G45190.1	19469	172
AT1G45180.1	71226	645
AT1G45170.1	23591	213
AT1G45170.2	18411	167
AT1G52100.1	41806	381
AT1G45165.1	13080	110
AT1G52120.1	50909	459
AT1G18410.1	128009	1140
AT1G52150.1	91702	836
AT1G52150.2	91830	837
AT1G52150.3	87080	794
AT1G18420.1	64911	581
AT1G18485.1	108811	970
AT1G45191.2	55108	487
AT1G45201.1	54777	479
AT1G45201.2	44119	387
AT1G18480.1	43282	391
AT1G18470.1	53001	467
AT1G18470.2	47700	423
AT1G18460.1	79430	701
AT1G52180.1	12956	124
AT1G52155.1	27483	235
AT1G45616.1	110159	994
AT1G18440.1	31562	288
AT1G18450.1	48937	441
AT1G52160.1	98641	890
AT1G69490.1	31426	268
AT1G13480.1	44532	387
AT1G18590.1	39913	346
AT1G46480.1	28676	251
AT1G13590.1	9653	87
AT1G18700.1	79032	700
AT1G18700.2	79774	705
AT1G18690.1	71524	632
AT1G13580.1	28197	239
AT1G13580.2	36549	308
AT1G13570.1	47606	416
AT1G46264.1	39616	348
AT1G13560.2	38419	346
AT1G13560.1	43543	389
AT1G46336.1	9428	80
AT1G46408.1	29853	266
AT1G13550.1	45003	388
AT1G18710.1	30593	267
AT1G18720.1	23135	206
AT1G69460.1	24414	214
AT1G69470.1	15719	140
AT1G69480.1	90599	777
AT1G18780.1	36920	325
AT1G13600.1	22873	196
AT1G18770.1	12119	106
AT1G18750.1	44878	389
AT1G18750.2	38577	334
AT1G18730.1	20396	175
AT1G18730.2	16130	139
AT1G13610.1	40405	358
AT1G13610.2	29448	258
AT1G18740.1	43541	382
AT1G18760.1	26041	224
AT1G13540.1	43906	381
AT1G18620.1	109428	978
AT1G18620.2	114118	1014
AT1G13520.1	44527	387
AT1G18630.1	15960	155
AT1G13510.1	43738	380
AT1G13530.1	43985	385
AT1G18610.1	62494	572
AT1G13490.1	41613	363
AT1G18600.1	37441	336
AT1G13500.1	44244	386
AT1G18640.2	32319	295
AT1G18650.1	19336	184
AT1G18660.4	55926	491
AT1G18660.2	55408	486
AT1G18660.3	55408	486
AT1G18660.1	55408	486
AT1G45976.1	36859	325
AT1G69450.1	81791	711
AT1G69440.1	113398	990
AT1G69430.1	38290	350
AT1G69420.2	65890	596
AT1G69420.1	65890	596
AT1G18670.1	79536	709
AT1G45688.2	27079	248
AT1G45688.1	37201	342
AT1G18680.1	20291	186
AT1G69410.1	17208	158
AT1G69400.2	30202	272
AT1G69400.1	34764	314
AT1G25320.1	76432	702
AT1G02205.1	52978	461
AT1G02205.2	72407	625
AT1G25330.1	25210	223
AT1G70520.1	72001	649
AT1G70530.1	71612	646
AT1G70540.1	17708	167
AT1G14580.1	50637	467
AT1G70550.2	45884	410
AT1G70550.1	52274	465
AT1G14570.2	51808	468
AT1G14570.1	51808	468
AT1G14570.3	49490	447
AT1G14570.4	49490	447
AT1G14540.1	34411	315
AT1G47940.1	31127	280
AT1G14550.1	35007	321
AT1G14560.1	36256	331
AT1G76130.1	47170	413
AT1G70560.1	44801	391
AT1G76190.1	13992	123
AT1G76200.1	7568	69
AT1G47960.1	22326	205
AT1G76185.1	12425	106
AT1G76140.1	89406	795
AT1G70580.1	53445	481
AT1G70580.2	53445	481
AT1G70580.3	53445	481
AT1G70580.4	53445	481
AT1G76170.1	37368	332
AT1G76150.1	34082	309
AT1G76160.1	60041	541
AT1G70570.1	65225	595
AT1G76180.1	20786	185
AT1G47920.1	43337	379
AT1G14530.1	34049	293
AT1G14530.2	34049	293
AT1G47915.1	8256	73
AT1G70470.1	16232	154
